row_index,No,testcase_id,Test Item,Test Name,Category,Description,Test Flow,Pass Condition,Coverage source,UVM test or monitor/counter hit,observed evidence,status,reason
"25","4.3","TC_025","PLRU dirty victim","plru_dirty_victim_select","PLRU","Verify dirty victim selection.","Fill set with dirty line and force replacement.","Dirty victim selection and writeback are observed.","cp_plru_select_case(dirty_victim_select), cp_victim_type(dirty)","cv32_l1_coverage deep sampler, plru_monitor","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires dirty victim selection and writeback evidence."
"26","4.4","TC_026","PLRU priority","plru_priority_select","PLRU","Verify PLRU priority selection.","Create multiple candidates and observe selected way.","Selected way matches PLRU priority policy.","cp_plru_select_case(priority_select), cp_victim_way","cv32_l1_coverage deep sampler, plru_monitor","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires PLRU update and observable selected victim way."
"27","5.1","TC_027","Store hit dirty bit","dcache_store_hit_dirty_bit","Store/WB","Verify store hit sets dirty bit.","Store to cached line and inspect dirty state.","Dirty bit is set after store hit.","cp_dcache_store_event(store_hit_dirty_bit), cp_writeback_event(dirty_bit_set)","core_monitor, dcache_monitor, deep dirty-bit checker","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18; deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires store traffic plus dirty update, dirty hit, or later dirty-victim evidence."
"28","5.2","TC_028","Store hit ctrl busy","dcache_store_hit_ctrl_busy","Store/WB","Verify store hit behavior during controller busy.","Create controller busy condition and issue store.","Store is replayed or accepted according to protocol.","cp_dcache_store_event(ctrl_busy_rtab), cp_rtab_event(alloc_on_ctrl_busy)","cv32_l1_coverage deep sampler, controller busy/RTAB signals","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires store traffic plus RTAB allocation/dependency or D-cache stall evidence."
"29","5.3","TC_029","Store byte enable","dcache_store_hit_byte_enable","Store/WB","Verify store byte enables.","Issue byte, half, and word stores.","Expected byte enable values are observed.","cp_dcache_store_event(byte_enable_store), cp_byte_enable","core_monitor, mem_monitor","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; byte_store=2 half_store=2 word_store=20012","PASS","PASS requires byte, half, and word store byte-enable evidence."
"30","5.4","TC_030","Store miss write allocate","dcache_store_miss_write_allocate","Store/WB","Verify store miss write allocate.","Issue store miss and observe allocation/refill.","Store miss and memory refill/write path complete.","cp_dcache_store_event(write_allocate_miss), cp_cache_result(miss/refill)","core_monitor, dcache_monitor, mem_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18; deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires store miss plus refill start/done evidence."
"31","5.5","TC_031","Store miss MSHR hit","dcache_store_miss_mshr_hit","Store/WB","Verify store miss merges with existing MSHR.","Issue duplicate store miss to active line.","MSHR hit/merge for store is observed.","cp_dcache_store_event(store_miss_mshr_hit), cp_mshr_event(hit)","cv32_l1_coverage deep sampler, MSHR/RTAB dependency signals","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires store traffic with MSHR hit, RTAB MSHR dependency, RTAB check-hit, or alloc-and-link evidence."
"32","6.1","TC_032","VBUF dirty victim alloc","vbuf_dirty_victim_alloc","VBUF","Verify dirty victim allocates victim buffer.","Force dirty eviction and observe VBUF allocation.","VBUF dirty allocation is observed.","cp_vbuf_event(dirty_alloc), cp_victim_type(dirty)","mem_monitor plus vbuf_monitor deep checker","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18; deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires VBUF allocation and dirty victim evidence."
"33","6.2","TC_033","VBUF owner capture","vbuf_owner_capture_handshake","VBUF","Verify victim buffer captures owner line.","Force victim capture and observe handshake.","Capture handshake completes.","cp_vbuf_event(capture_handshake)","cv32_l1_coverage deep sampler, vbuf_monitor","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires VBUF capture start and done evidence."
"34","6.3","TC_034","VBUF CPU forwarding","vbuf_cpu_forwarding","VBUF","Verify CPU load forwarding from VBUF.","Issue load to line held in VBUF.","VBUF forward hit and response are observed.","cp_vbuf_event(load_forward), cp_response_type(vbuf_forward_response)","cv32_l1_coverage deep sampler, vbuf_monitor","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires VBUF CPU forward response/hit or matching forward dependency evidence."
"35","6.4","TC_035","VBUF store dependency","vbuf_store_dependency_writeback","VBUF","Verify store waits on VBUF writeback dependency.","Issue store dependent on active VBUF writeback.","Store dependency wait and later completion are observed.","cp_vbuf_event(store_dependency_wait), cp_writeback_event(vbuf_writeback_done)","cv32_l1_coverage deep sampler, vbuf_monitor","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires VBUF busy/writeback-done evidence while store traffic exists."
"36","6.5","TC_036","VBUF full busy","vbuf_full_busy_no_overwrite","VBUF","Verify VBUF full/busy prevents overwrite.","Fill victim buffer and force another victim.","No overwrite occurs while full/busy.","cp_vbuf_event(full_busy_backpressure/no_overwrite)","cv32_l1_coverage deep sampler, vbuf_monitor","deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires VBUF full/busy and safe-to-overwrite evidence."
"37","7.1","TC_037","CV32 instruction fetch","cv32_icache_instruction_fetch","CV32/RISC-V","Verify CV32 instruction fetch through full L1.","Run CV32 basic program.","Instruction fetch handshakes and responses complete.","cp_req_source(i_fetch), cp_response_type(i_response)","core_monitor, mem_monitor, scoreboard","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS based on UVM monitor and scoreboard evidence."
"38","7.2","TC_038","CV32 data access","cv32_dcache_data_access","CV32/RISC-V","Verify CV32 data access through D-Cache.","Run load/store program.","Load/store handshakes and load responses complete.","cp_req_source(d_load/d_store), cp_response_type(d_load_response/d_store_response)","core_monitor, mem_monitor, scoreboard","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS based on accepted load/store and memory response evidence."
"39","7.3","TC_039","L1 arbiter arbitration","l1_arbiter_i_d_arbitration","CV32/RISC-V","Verify I/D request arbitration.","Run mixed instruction/data traffic.","I and D memory requests complete without protocol error.","cp_arbiter_event(i_read/d_read/d_writeback), cp_req_source","mem_monitor, scoreboard","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18; deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires I read, D read, D writeback, and non-idle arbiter evidence."
"40","7.4","TC_040","Core/cache handshake","core_cache_handshake_match","CV32/RISC-V","Verify CV32 handshake matches cache responses.","Run basic program and compare pending request counts.","No pending load or memory response remains at end.","cp_response_type x cp_req_source","scoreboard","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2","PASS","Scoreboard checks pending counts and protocol errors."
"41","7.5","TC_041","End-to-end full L1","cv32_full_l1_end_to_end","CV32/RISC-V","Verify end-to-end CV32 full L1 execution.","Run UVM full L1 basic program.","Program reaches done/pass with no UVM error.","cp_req_source, cp_response_type, cp_perf_counter_event","sys_monitor, scoreboard, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS when UVM sees done/pass and no timeout or critical X/Z."
